Task,Model,Content F1,Stylometric F1,RQ3 (Demo) F1
Extrovert Introvert,LOGISTIC,0.727753358913958,0.5235446466154039,0.9715508235881535
Extrovert Introvert,SVM,0.7213261895250762,0.5456844808065405,0.9967852799032075
Extrovert Introvert,RF,0.5254328551487403,0.5798522297015828,0.9999876060945436
Extrovert Introvert,LGBM,0.7417750729548105,0.6429976740291866,0.9999876060945436
Sensing Intuitive,LOGISTIC,0.7387473096022569,0.5030615643384435,0.601992444969921
Sensing Intuitive,SVM,0.7287986829359849,0.5358726472279904,1.0
Sensing Intuitive,RF,0.6453525422070661,0.6443928903919685,1.0
Sensing Intuitive,LGBM,0.7677734121144347,0.6732098014830832,1.0
Feeling Thinking,LOGISTIC,0.7768615025334348,0.5428253268679276,0.9737813147474774
Feeling Thinking,SVM,0.7750285768756988,0.6052165246164762,0.9984534063700738
Feeling Thinking,RF,0.6251323284075085,0.6662546782781168,1.0
Feeling Thinking,LGBM,0.777279237009443,0.6933143771420174,1.0
Judging Perceiving,LOGISTIC,0.7592977966822433,0.5688153921298689,0.48839720062338243
Judging Perceiving,SVM,0.751268601398789,0.5911865520419146,0.6633538272898493
Judging Perceiving,RF,0.627059491120883,0.6601798880383419,1.0
Judging Perceiving,LGBM,0.7691871211961651,0.6747387256412791,1.0
